"time","c","der(c)","B","SR","S_sat","S_sat_mean","T_basin","c_target","cycles","excursion"
244800,128.0416458540361,1.934332660859212e-05,0.673443531557921,1.01457786511412,126.2018916996912,129.4676747153585,28.70590477448739,129.4676747153585,7.11342476966867,0.01457786511411996
245400,128.0532047566251,1.918653621389438e-05,0.673443531557921,1.01041849396012,126.7328394344286,129.4676747153585,28.91780193030948,129.4676747153585,7.114066930923618,0.0104184939601204
246000,128.0646699783229,1.903101655089557e-05,0.673443531557921,1.006240369166529,127.2704553529283,129.4676747153585,29.13175911166535,129.4676747153585,7.114703887684604,0.006240369166529369
246600,128.0760422778422,1.887675732805718e-05,0.673443531557921,1.002052089194641,127.8137570480773,129.4676747153585,29.34736903889974,129.4676747153585,7.115335682102344,0.002052089194641171
247200,128.0873224078383,1.872374833600901e-05,0.673443531557921,0.9978621316542847,128.3617429148167,129.4676747153585,29.56422128626171,129.4676747153585,7.115962355991018,-0.002137868345715277
247800,128.0985111149725,1.857197944668684e-05,0.673443531557921,0.9936788361926768,128.913393794103,129.4676747153585,29.78190306317331,129.4676747153585,7.116583950831806,-0.006321163807323171
248400,128.1096091399757,1.842144061246728e-05,0.673443531557921,0.9895103887640789,129.4676747153585,129.4676747153585,30,129.4676747153585,7.117200507776427,-0.01048961123592107
249000,128.1206172177122,1.827212186530488e-05,0.673443531557921,0.9853648072809057,130.0235367358597,129.4676747153585,30.21809693682667,129.4676747153585,7.117812067650677,-0.0146351927190943
249600,128.1315360772435,1.812401331586699e-05,0.673443531557921,0.9812499286361954,130.5799188748263,129.4676747153585,30.43577871373829,129.4676747153585,7.118418670957971,-0.01875007136380458
250200,128.1423664418917,1.79771051526717e-05,0.673443531557921,0.977173397077402,131.135750139278,129.4676747153585,30.65263096110025,129.4676747153585,7.119020357882871,-0.02282660292259797
250800,128.1531090293034,1.783138764122271e-05,0.673443531557921,0.9731426539024122,131.6899516380203,129.4676747153585,30.86824088833465,129.4676747153585,7.119617168294634,-0.02685734609758783
251400,128.1637645515133,1.768685112314699e-05,0.673443531557921,0.9691649284404051,132.2414387794205,129.4676747153585,31.08219806969051,129.4676747153585,7.120209141750738,-0.03083507155959486
252000,128.1743337150078,1.754348601532939e-05,0.673443531557921,0.9652472302728875,132.7891235479343,129.4676747153585,31.2940952255126,129.4676747153585,7.120796317500435,-0.0347527697271125
252600,128.1848172207889,1.740128280905083e-05,0.673443531557921,0.9613963426436762,133.3319168536698,129.4676747153585,31.50352899752136,129.4676747153585,7.121378734488271,-0.03860365735632376
253200,128.1952157644374,1.726023206912288e-05,0.673443531557921,0.9576188170011237,133.8687309485973,129.4676747153585,31.71010071662834,129.4676747153585,7.121956431357636,-0.04238118299887628
253800,128.2055300361775,1.712032443302349e-05,0.673443531557921,0.953920968611093,134.3984819023786,129.4676747153585,31.91341716182545,129.4676747153585,7.122529446454305,-0.04607903138890701
254400,128.2157607209392,1.698155061003632e-05,0.673443531557921,0.950308873175343,134.9200921301741,129.4676747153585,32.1130913087035,129.4676747153585,7.123097817829956,-0.04969112682465704
255000,128.2259084984232,1.68439013803831e-05,0.673443531557921,0.9467883643869144,135.4324929642063,129.4676747153585,32.30874306617517,129.4676747153585,7.123661583245735,-0.05321163561308562
255600,128.2359740431638,1.67073675943621e-05,0.673443531557921,0.9433650323518374,135.9346272603169,129.4676747153585,32.49999999999999,129.4676747153585,7.12422078017577,-0.05663496764816256
256200,128.2459579645511,1.657194098592072e-05,0.673443531557921,0.9400442223647603,136.4254520302647,129.4676747153585,32.68649804173412,129.4676747153585,7.124775442475062,-0.05995577763523974
256800,128.255860835359,1.643761378568371e-05,0.673443531557921,0.9368310350611855,136.9039410900627,129.4676747153585,32.86788218175523,129.4676747153585,7.125325601964387,-0.06316896493881452
257400,128.2656834256351,1.63043755483605e-05,0.673443531557921,0.9337303287071168,137.3690877142625,129.4676747153585,33.0438071450436,129.4676747153585,7.125871301424174,-0.06626967129288319
258000,128.2754263858916,1.617221745010113e-05,0.673443531557921,0.9307467180334028,137.8199072857628,129.4676747153585,33.21393804843269,129.4676747153585,7.126412576993977,-0.06925328196659719
258600,128.285090361583,1.604113073565486e-05,0.673443531557921,0.927884576737976,138.2554399304443,129.4676747153585,33.3779510380783,129.4676747153585,7.126949464532389,-0.07211542326202403
259200,128.2946759931659,1.591110671756723e-05,0.673443531557921,0.9251480395775271,138.6747531257292,129.4676747153585,33.53553390593273,129.4676747153585,7.127481999620329,-0.07485196042247289
259800,128.3041839161575,1.578213677538457e-05,0.673443531557921,0.9225410048210668,139.0769442720251,129.4676747153585,33.68638668405062,129.4676747153585,7.128010217564306,-0.07745899517893318
260400,128.3136147611947,1.565421235485075e-05,0.673443531557921,0.920067136998262,139.4611432159402,129.4676747153585,33.83022221559489,129.4676747153585,7.128534153399705,-0.07993286300173796
261000,128.3229691540926,1.552732496711457e-05,0.673443531557921,0.9177298698777964,139.8265147141609,129.4676747153585,33.96676670145617,129.4676747153585,7.129053841894034,-0.08227013012220363
261600,128.3322477159045,1.540146618791852e-05,0.673443531557921,0.9155324096137019,140.1722608269572,129.4676747153585,34.09576022144496,129.4676747153585,7.129569317550247,-0.08446759038629814
262200,128.3414510629794,1.527662765681242e-05,0.673443531557921,0.9134777380005202,140.4976232304265,129.4676747153585,34.21695722906443,129.4676747153585,7.130080614609964,-0.08652226199947977
262800,128.350579807022,1.51528010763468e-05,0.673443531557921,0.91156861578127,140.8018854368058,129.4676747153585,34.33012701892219,129.4676747153585,7.130587767056777,-0.08843138421872998
263400,128.3596345551513,1.502997821127394e-05,0.673443531557921,0.9098075859554461,141.0843749124743,129.4676747153585,34.4350541658911,129.4676747153585,7.131090808619518,-0.09019241404455391
264000,128.3686159099594,1.490815088775179e-05,0.673443531557921,0.9081969770376697,141.3444650836302,129.4676747153585,34.53153893518325,129.4676747153585,7.131589772775523,-0.09180302296233034
264600,128.3775244695705,1.478731099254105e-05,0.673443531557921,0.9067389062211156,141.5815772200522,129.4676747153585,34.61939766255643,129.4676747153585,7.132084692753917,-0.09326109377888436
265200,128.3863608277,1.466745047220684e-05,0.673443531557921,0.9054352824033707,141.7951821878574,129.4676747153585,34.69846310392954,129.4676747153585,7.132575601538891,-0.09456471759662932
265800,128.3951255737132,1.454856133232084e-05,0.673443531557921,0.9042878090360239,141.9848020627229,129.4676747153585,34.76858475374113,129.4676747153585,7.133062531872958,-0.0957121909639761
266400,128.4038192926844,1.443063563666158e-05,0.673443531557921,0.9032979867629065,142.150011595661,129.4676747153585,34.82962913144534,129.4676747153585,7.133545516260243,-0.09670201323709349
267000,128.4124425654555,1.431366550641314e-05,0.673443531557921,0.902467115815618,142.2904395241048,129.4676747153585,34.88148003559967,129.4676747153585,7.13402458696975,-0.097532884184382
267600,128.4209959686956,1.419764311936689e-05,0.673443531557921,0.9017962981385995,142.4057697217983,129.4676747153585,34.92403876506104,129.4676747153585,7.134499776038642,-0.09820370186140048
268200,128.4294800749591,1.408256070912387e-05,0.673443531557921,0.9012864392197504,142.4957421817434,129.4676747153585,34.95722430686905,129.4676747153585,7.134971115275503,-0.09871356078024962
268800,128.437895316186,1.396841241664703e-05,0.673443531557921,0.9009382486483279,142.5601538272801,129.4676747153585,34.98097349045873,129.4676747153585,7.135438628677,-0.09906175135167206
269400,128.446242172503,1.385519172927189e-05,0.673443531557921,0.9007522426241736,142.5988591472155,129.4676747153585,34.99524110790929,129.4676747153585,7.135902342916836,-0.09924775737582636
270000,128.4545213568358,1.374288897654111e-05,0.673443531557921,0.9007287460897859,142.6117706517954,129.4676747153585,35,129.4676747153585,7.136362297601987,-0.09927125391021407
270600,128.4627334192278,1.363149669740352e-05,0.673443531557921,0.9008678904408766,142.5988591472155,129.4676747153585,34.99524110790929,129.4676747153585,7.136818523290431,-0.09913210955912344
271200,128.470878905556,1.35210074873271e-05,0.673443531557921,0.9011696147663105,142.5601538272801,129.4676747153585,34.98097349045873,129.4676747153585,7.137271050308668,-0.09883038523368948
271800,128.4789583575817,1.341141399760914e-05,0.673443531557921,0.9016336656130802,142.4957421817434,129.4676747153585,34.95722430686905,129.4676747153585,7.137719908754538,-0.09836633438691977
272400,128.4869723130017,1.330270893467542e-05,0.673443531557921,0.9022595963914372,142.4057697217983,129.4676747153585,34.92403876506104,129.4676747153585,7.138165128500093,-0.09774040360856284
273000,128.4949213054993,1.319488505939404e-05,0.673443531557921,0.9030467664254527,142.2904395241048,129.4676747153585,34.88148003559967,129.4676747153585,7.138606739194405,-0.09695323357454733
273600,128.5028058647954,1.308793518638254e-05,0.673443531557921,0.9039943396579916,142.150011595661,129.4676747153585,34.82962913144534,129.4676747153585,7.139044770266411,-0.09600566034200841
274200,128.5106265166997,1.298185218331071e-05,0.673443531557921,0.9051012830227354,141.9848020627229,129.4676747153585,34.76858475374114,129.4676747153585,7.139479250927759,-0.0948987169772646
274800,128.5183837831615,1.28766289702105e-05,0.673443531557921,0.9063663644995635,141.7951821878574,129.4676747153585,34.69846310392954,129.4676747153585,7.139910210175641,-0.09363363550043646
